market_id,census_name,common_name,population,days_on_market_median,price_new_list_median,price_closed_median,listings_on_market_count,listings_price_increase_count,listings_price_decrease_count,listings_closed_count
cleveland_oh,"Cleveland, OH Metro Area","Cleveland, OH",2171978,29,"$250,006","$243,539",3928,36,1946,2292
columbus_oh,"Columbus, OH Metro Area","Columbus, OH",2151847,48,"$348,804","$343,374",4473,46,2888,2096
indianapolis_in,"Indianapolis-Carmel-Greenwood, IN Metro Area","Indianapolis, IN",2106327,32,"$315,642","$311,372",5910,74,3678,2497
nashville_tn,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area","Nashville, TN",2043713,68,"$500,000","$455,000",10850,298,4074,2539
san_jose_ca,"San Jose-Sunnyvale-Santa Clara, CA Metro Area","San Jose, CA",1969353,17,"$1,573,032","$1,632,174",1698,66,562,1082
virginia_beach_va,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area","Virginia Beach, VA",1782590,36,"$365,000","$368,800",4933,84,1682,2312
providence_ri,"Providence-Warwick, RI-MA Metro Area","Providence, RI",1673807,31,"$530,424","$524,062",2365,6,802,1538
jacksonville_fl,"Jacksonville, FL Metro Area","Jacksonville, FL",1645707,85,"$368,992","$365,000",8828,256,3840,1999
milwaukee_wi,"Milwaukee-Waukesha, WI Metro Area","Milwaukee, WI",1566361,42,"$334,900","$360,000",3376,18,1064,1501
raleigh_nc,"Raleigh-Cary, NC Metro Area","Raleigh, NC",1449594,48,"$462,900","$437,500",5702,174,2720,1412
oklahoma_city_ok,"Oklahoma City, OK Metro Area","Oklahoma City, OK",1445122,39,"$279,900","$268,000",6198,104,2582,1628
louisville_ky,"Louisville/Jefferson County, KY-IN Metro Area","Louisville, KY",1361847,44,"$299,000","$280,000",3688,30,1792,1479
memphis_tn,"Memphis, TN-MS-AR Metro Area","Memphis, TN",1341606,44,"$293,000","$300,000",5002,56,2026,1505
richmond_va,"Richmond, VA Metro Area","Richmond, VA",1327321,26,"$412,545","$395,000",2959,94,1308,1336
salt_lake_city_ut,"Salt Lake City-Murray, UT Metro Area","Salt Lake City, UT",1261337,48,"$559,900","$552,000",3427,120,1786,1267
birmingham_al,"Birmingham, AL Metro Area","Birmingham, AL",1181432,59,"$295,000","$305,370",4434,84,1594,1473
fresno_ca,"Fresno, CA Metro Area","Fresno, CA",1170942,45,"$440,850","$437,000",2077,56,670,669
buffalo_ny,"Buffalo-Cheektowaga, NY Metro Area","Buffalo, NY",1161385,12,"$249,900","$290,000",1475,24,490,1026
grand_rapids_mi,"Grand Rapids-Wyoming-Kentwood, MI Metro Area","Grand Rapids, MI",1154320,14,"$349,900","$355,500",1905,8,1000,1342
