call_id,customer_id,call_date,disposition,call_handler
62,18,1/1/25 9:23,Talked to Customer,Phil
63,18,1/4/25 18:54,Voicemail,NA
64,18,1/7/25 9:47,Talked to Customer,Geoffrey
65,18,1/8/25 2:15,Voicemail,NA
66,18,1/9/25 19:13,Voicemail,NA
67,19,1/1/25 9:39,Talked to Customer,Vivian
68,19,1/4/25 23:58,Talked to Customer,Hillary
69,20,1/1/25 9:44,Disconnected,NA
70,20,1/1/25 12:04,Talked to Customer,Carlton
71,20,1/3/25 13:36,Voicemail,NA
72,20,1/4/25 17:19,Talked to Customer,Hillary
73,21,1/1/25 10:01,Talked to Customer,Vivian
74,21,1/1/25 15:14,Talked to Customer,Carlton
75,22,1/1/25 10:01,Talked to Customer,Carlton
76,22,1/5/25 19:51,Voicemail,NA
77,22,1/5/25 23:37,Voicemail,NA
78,22,1/8/25 18:37,Voicemail,NA
79,23,1/1/25 10:01,Disconnected,NA
80,23,1/1/25 20:23,Voicemail,NA
81,23,1/4/25 22:59,Voicemail,NA
82,24,1/1/25 10:01,Talked to Customer,Vivian
83,24,1/5/25 8:47,Voicemail,NA
84,24,1/8/25 23:20,Voicemail,NA
85,24,1/9/25 3:29,Voicemail,NA
86,25,1/1/25 10:07,Talked to Customer,Carlton
87,25,1/3/25 5:19,Disconnected,NA
88,25,1/4/25 2:16,Voicemail,NA
89,25,1/6/25 3:07,Voicemail,NA
90,25,1/11/25 1:57,Voicemail,NA
91,26,1/1/25 10:12,Talked to Customer,Hillary
92,26,1/1/25 22:33,Voicemail,NA
93,26,1/2/25 14:48,Talked to Customer,Geoffrey
94,26,1/5/25 3:27,Voicemail,NA
95,26,1/8/25 2:10,Voicemail,NA
96,27,1/1/25 10:16,Talked to Customer,Carlton
97,27,1/5/25 12:24,Talked to Customer,Phil
98,27,1/8/25 5:15,Voicemail,NA
99,28,1/1/25 10:18,Talked to Customer,Geoffrey
100,28,1/1/25 11:54,Talked to Customer,Carlton
101,29,1/1/25 10:25,Talked to Customer,Geoffrey
102,29,1/5/25 3:14,Voicemail,NA
103,29,1/8/25 21:03,Voicemail,NA
104,30,1/1/25 10:32,Talked to Customer,Carlton
105,30,1/3/25 16:53,Talked to Customer,Geoffrey
106,30,1/4/25 21:05,Talked to Customer,Vivian
107,31,1/1/25 10:41,Talked to Customer,Carlton
108,31,1/3/25 12:53,Voicemail,NA
109,31,1/4/25 9:49,Talked to Customer,Phil
110,31,1/8/25 7:07,Voicemail,NA
111,31,1/8/25 16:46,Talked to Customer,Carlton
112,32,1/1/25 10:45,Talked to Customer,Carlton
113,32,1/4/25 14:13,Talked to Customer,Phil
114,33,1/1/25 10:51,Talked to Customer,Vivian
115,33,1/5/25 17:45,Talked to Customer,Phil
116,33,1/7/25 13:18,Talked to Customer,Carlton
117,34,1/1/25 11:00,Talked to Customer,Carlton
118,34,1/3/25 22:22,Voicemail,NA
119,34,1/8/25 2:06,Voicemail,NA
120,34,1/12/25 5:30,Voicemail,NA
121,34,1/15/25 22:37,Voicemail,NA
122,35,1/1/25 11:02,Talked to Customer,Phil
123,35,1/1/25 11:43,Talked to Customer,Carlton
124,35,1/4/25 14:52,Talked to Customer,Vivian
125,35,1/6/25 23:24,Voicemail,NA
126,36,1/1/25 11:07,Talked to Customer,Vivian
127,36,1/3/25 10:49,Voicemail,NA
128,37,1/1/25 11:07,Disconnected,NA
129,37,1/1/25 14:08,Talked to Customer,Phil
130,37,1/2/25 10:29,Talked to Customer,Hillary
131,38,1/1/25 11:15,Talked to Customer,Geoffrey
132,38,1/5/25 2:51,Voicemail,NA
133,39,1/1/25 11:24,Talked to Customer,Vivian
134,39,1/3/25 14:33,Voicemail,NA
135,39,1/7/25 21:44,Voicemail,NA
136,39,1/9/25 9:16,Talked to Customer,Vivian
137,40,1/1/25 11:25,Talked to Customer,Carlton
138,40,1/4/25 11:22,Talked to Customer,Hillary
139,40,1/5/25 19:33,Voicemail,NA
140,40,1/9/25 5:34,Talked to Customer,Hillary
141,41,1/1/25 11:30,Talked to Customer,Phil
142,41,1/5/25 19:44,Voicemail,NA
143,42,1/1/25 11:31,Disconnected,NA
144,42,1/4/25 20:45,Disconnected,NA
145,42,1/6/25 5:34,Voicemail,NA
146,42,1/9/25 8:25,Talked to Customer,Geoffrey
147,43,1/1/25 11:32,Talked to Customer,Geoffrey
148,43,1/4/25 22:49,Voicemail,NA
149,43,1/8/25 13:08,Talked to Customer,Carlton
150,44,1/1/25 11:33,Talked to Customer,Carlton
151,44,1/5/25 11:11,Talked to Customer,Carlton
152,45,1/1/25 11:38,Talked to Customer,Vivian
153,45,1/5/25 17:08,Talked to Customer,Phil
154,45,1/7/25 8:46,Voicemail,NA
155,45,1/9/25 15:01,Talked to Customer,Carlton
156,45,1/13/25 0:49,Voicemail,NA
157,46,1/1/25 11:40,Talked to Customer,Vivian
158,46,1/2/25 21:57,Voicemail,NA
159,46,1/4/25 9:15,Disconnected,NA
160,46,1/4/25 23:53,Voicemail,NA
161,46,1/9/25 0:17,Voicemail,NA
162,47,1/1/25 11:47,Talked to Customer,Vivian
163,47,1/6/25 2:41,Voicemail,NA
164,47,1/10/25 9:58,Voicemail,NA
165,47,1/15/25 3:37,Voicemail,NA
166,47,1/16/25 2:57,Voicemail,NA
167,48,1/1/25 11:55,Talked to Customer,Hillary
168,48,1/2/25 3:53,Talked to Customer,Vivian
169,48,1/4/25 9:03,Disconnected,NA
170,49,1/1/25 11:55,Talked to Customer,Phil
171,49,1/3/25 0:05,Voicemail,NA
172,49,1/3/25 5:27,Voicemail,NA
173,50,1/1/25 11:59,Talked to Customer,Hillary
174,50,1/6/25 3:00,Voicemail,NA
175,50,1/10/25 18:11,Voicemail,NA
176,50,1/13/25 0:14,Voicemail,NA
177,51,1/1/25 12:06,Talked to Customer,Geoffrey
178,51,1/6/25 2:57,Voicemail,NA
179,51,1/8/25 16:35,Talked to Customer,Carlton
180,51,1/12/25 9:53,Talked to Customer,Phil
181,51,1/14/25 2:25,Voicemail,NA
182,52,1/1/25 12:07,Talked to Customer,Phil
183,52,1/4/25 7:48,Voicemail,NA
184,52,1/7/25 7:06,Voicemail,NA
185,53,1/1/25 12:08,Talked to Customer,Carlton
186,53,1/4/25 23:45,Voicemail,NA
187,54,1/1/25 12:13,Talked to Customer,Carlton
188,54,1/2/25 9:13,Talked to Customer,Hillary
189,54,1/4/25 16:50,Talked to Customer,Hillary
190,54,1/6/25 8:04,Voicemail,NA
191,54,1/8/25 19:51,Voicemail,NA
192,55,1/1/25 12:14,Talked to Customer,Carlton
193,55,1/1/25 19:36,Voicemail,NA
194,55,1/5/25 0:09,Voicemail,NA
195,55,1/9/25 16:04,Talked to Customer,Hillary
196,55,1/9/25 21:25,Voicemail,NA
197,56,1/1/25 12:18,Talked to Customer,Carlton
198,56,1/5/25 20:07,Disconnected,NA
199,57,1/1/25 12:23,Talked to Customer,Hillary
200,57,1/5/25 4:55,Voicemail,NA
201,57,1/7/25 17:59,Talked to Customer,Geoffrey
202,57,1/12/25 8:59,Voicemail,NA
203,57,1/14/25 15:20,Talked to Customer,Phil
204,58,1/1/25 12:25,Talked to Customer,Carlton
205,58,1/4/25 7:47,Voicemail,NA
206,58,1/7/25 14:31,Talked to Customer,Geoffrey
207,59,1/1/25 12:27,Disconnected,NA
208,59,1/2/25 17:52,Talked to Customer,Hillary
209,60,1/1/25 12:27,Talked to Customer,Vivian
210,60,1/6/25 8:11,Voicemail,NA
211,61,1/1/25 12:27,Talked to Customer,Geoffrey
212,61,1/2/25 6:36,Voicemail,NA
213,62,1/1/25 12:31,Talked to Customer,Phil
214,62,1/2/25 9:50,Talked to Customer,Phil
215,62,1/4/25 1:18,Voicemail,NA
216,62,1/5/25 4:29,Voicemail,NA
217,62,1/8/25 15:38,Talked to Customer,Carlton
218,63,1/1/25 12:32,Talked to Customer,Carlton
219,63,1/3/25 23:46,Voicemail,NA
220,63,1/6/25 4:17,Voicemail,NA
221,63,1/10/25 19:03,Talked to Customer,Carlton
222,63,1/13/25 16:08,Talked to Customer,Vivian
223,64,1/1/25 12:32,Talked to Customer,Hillary
224,64,1/4/25 2:33,Voicemail,NA
225,64,1/7/25 5:46,Voicemail,NA
226,64,1/8/25 11:11,Talked to Customer,Hillary
227,65,1/1/25 12:32,Talked to Customer,Carlton
228,65,1/2/25 0:34,Voicemail,NA
229,65,1/5/25 20:22,Voicemail,NA
230,65,1/10/25 18:11,Voicemail,NA
231,66,1/1/25 12:37,Talked to Customer,Geoffrey
232,66,1/5/25 16:56,Talked to Customer,Carlton
233,66,1/10/25 3:10,Talked to Customer,Geoffrey
234,67,1/1/25 12:37,Talked to Customer,Phil
235,67,1/4/25 23:18,Voicemail,NA
236,67,1/5/25 17:35,Talked to Customer,Hillary
237,68,1/1/25 12:41,Talked to Customer,Hillary
238,68,1/3/25 3:10,Voicemail,NA
239,68,1/4/25 8:27,Disconnected,NA
240,69,1/1/25 12:41,Talked to Customer,Carlton
241,69,1/3/25 7:01,Voicemail,NA
242,69,1/7/25 9:41,Talked to Customer,Geoffrey
243,69,1/11/25 15:23,Talked to Customer,Carlton
244,70,1/1/25 12:46,Talked to Customer,Phil
245,70,1/5/25 20:50,Disconnected,NA
246,70,1/6/25 18:40,Voicemail,NA
247,70,1/10/25 20:34,Voicemail,NA
248,70,1/15/25 3:46,Voicemail,NA
249,71,1/1/25 12:50,Talked to Customer,Hillary
250,71,1/1/25 22:24,Voicemail,NA
251,71,1/1/25 23:46,Voicemail,NA
252,71,1/6/25 20:35,Voicemail,NA
253,71,1/7/25 21:50,Voicemail,NA
254,72,1/1/25 12:55,Talked to Customer,Carlton
255,72,1/4/25 13:59,Talked to Customer,Geoffrey
256,73,1/1/25 12:57,Talked to Customer,Carlton
257,73,1/5/25 1:37,Voicemail,NA
258,73,1/10/25 1:24,Voicemail,NA
259,73,1/11/25 16:04,Talked to Customer,Geoffrey
260,73,1/16/25 4:46,Voicemail,NA
261,74,1/1/25 12:57,Talked to Customer,Phil
262,74,1/6/25 0:41,Voicemail,NA
263,74,1/9/25 4:17,Voicemail,NA
264,74,1/9/25 11:29,Talked to Customer,Geoffrey
265,74,1/10/25 21:26,Voicemail,NA
266,75,1/1/25 13:01,Disconnected,NA
267,75,1/2/25 1:00,Voicemail,NA
268,75,1/3/25 0:33,Voicemail,NA
269,76,1/1/25 13:03,Talked to Customer,Hillary
270,76,1/6/25 9:57,Talked to Customer,Carlton
271,77,1/1/25 13:07,Talked to Customer,Geoffrey
272,77,1/4/25 21:59,Talked to Customer,Carlton
273,77,1/7/25 5:14,Voicemail,NA
274,78,1/1/25 13:07,Talked to Customer,Phil
275,78,1/2/25 5:52,Voicemail,NA
276,78,1/3/25 9:48,Voicemail,NA
277,78,1/5/25 23:40,Voicemail,NA
278,78,1/10/25 20:58,Voicemail,NA
279,79,1/1/25 13:09,Disconnected,NA
280,79,1/2/25 23:03,Voicemail,NA
281,79,1/3/25 6:28,Voicemail,NA
282,79,1/7/25 6:58,Voicemail,NA
283,80,1/1/25 13:14,Talked to Customer,Hillary
284,80,1/3/25 23:04,Voicemail,NA
285,81,1/1/25 13:14,Talked to Customer,Phil
286,81,1/2/25 14:17,Talked to Customer,Geoffrey
287,81,1/4/25 10:04,Talked to Customer,Geoffrey
288,81,1/7/25 12:18,Talked to Customer,Carlton
289,82,1/1/25 13:14,Talked to Customer,Vivian
290,82,1/5/25 4:48,Voicemail,NA
291,83,1/1/25 13:14,Talked to Customer,Carlton
292,83,1/2/25 5:28,Voicemail,NA
293,83,1/4/25 21:51,Voicemail,NA
294,84,1/1/25 13:17,Talked to Customer,Geoffrey
295,84,1/2/25 9:28,Disconnected,NA
296,84,1/2/25 9:55,Talked to Customer,Geoffrey
297,85,1/1/25 13:22,Talked to Customer,Hillary
298,85,1/2/25 19:01,Voicemail,NA
299,85,1/2/25 21:49,Talked to Customer,Carlton
300,85,1/5/25 5:36,Voicemail,NA
301,86,1/1/25 13:25,Talked to Customer,Hillary
302,86,1/6/25 4:12,Voicemail,NA
303,87,1/1/25 13:26,Disconnected,NA
304,87,1/3/25 5:56,Voicemail,NA
305,87,1/3/25 20:38,Talked to Customer,Carlton
306,88,1/1/25 13:29,Talked to Customer,Phil
307,88,1/6/25 10:49,Disconnected,NA
308,88,1/10/25 9:56,Voicemail,NA
309,89,1/1/25 13:32,Talked to Customer,Carlton
310,89,1/3/25 16:33,Voicemail,NA
311,90,1/1/25 13:32,Talked to Customer,Hillary
312,90,1/5/25 21:19,Voicemail,NA
313,91,1/1/25 13:36,Talked to Customer,Phil
314,91,1/4/25 19:35,Talked to Customer,Hillary
315,92,1/1/25 13:39,Talked to Customer,Vivian
316,92,1/3/25 5:55,Voicemail,NA
317,92,1/3/25 19:26,Voicemail,NA
318,92,1/5/25 20:49,Voicemail,NA
319,92,1/7/25 20:32,Disconnected,NA
320,93,1/1/25 13:43,Talked to Customer,Hillary
321,93,1/5/25 11:40,Talked to Customer,Carlton
322,93,1/6/25 12:30,Talked to Customer,Carlton
323,94,1/1/25 13:44,Talked to Customer,Vivian
324,94,1/5/25 14:21,Talked to Customer,Carlton
325,94,1/7/25 8:32,Talked to Customer,Carlton
326,95,1/1/25 13:48,Talked to Customer,Carlton
327,95,1/4/25 0:54,Talked to Customer,Carlton
328,96,1/1/25 13:49,Talked to Customer,Phil
329,96,1/4/25 15:45,Disconnected,NA
330,97,1/1/25 13:53,Talked to Customer,Phil
331,97,1/5/25 21:28,Voicemail,NA
332,97,1/7/25 9:06,Talked to Customer,Geoffrey
333,97,1/11/25 5:22,Voicemail,NA
334,98,1/1/25 13:56,Talked to Customer,Hillary
335,98,1/3/25 11:28,Voicemail,NA
336,98,1/4/25 13:18,Talked to Customer,Hillary
337,98,1/7/25 2:47,Voicemail,NA
338,98,1/10/25 19:15,Voicemail,NA
339,99,1/1/25 13:57,Talked to Customer,Vivian
340,99,1/1/25 22:11,Voicemail,NA
341,99,1/4/25 14:01,Talked to Customer,Carlton
342,99,1/8/25 6:03,Voicemail,NA
343,99,1/10/25 7:55,Voicemail,NA
344,100,1/1/25 13:58,Talked to Customer,Hillary
345,100,1/5/25 2:19,Voicemail,NA
346,101,1/1/25 14:00,Talked to Customer,Geoffrey
347,101,1/5/25 16:44,Talked to Customer,Carlton
348,102,1/1/25 14:01,Talked to Customer,Geoffrey
349,102,1/3/25 14:28,Voicemail,NA
350,102,1/6/25 11:59,Talked to Customer,Hillary
351,103,1/1/25 14:03,Talked to Customer,Geoffrey
352,103,1/2/25 1:32,Voicemail,NA
353,103,1/5/25 3:02,Voicemail,NA
354,103,1/8/25 8:54,Talked to Customer,Carlton
355,104,1/1/25 14:13,Talked to Customer,Geoffrey
356,104,1/3/25 8:57,Voicemail,NA
357,104,1/7/25 6:32,Voicemail,NA
358,104,1/11/25 12:20,Talked to Customer,Hillary
359,105,1/1/25 14:14,Talked to Customer,Phil
360,105,1/6/25 8:56,Talked to Customer,Vivian
361,105,1/9/25 1:42,Voicemail,NA
362,106,1/1/25 14:22,Talked to Customer,Geoffrey
363,106,1/1/25 19:14,Voicemail,NA
364,106,1/5/25 9:15,Disconnected,NA
365,106,1/8/25 7:50,Voicemail,NA
366,106,1/10/25 13:21,Voicemail,NA
367,107,1/1/25 14:29,Talked to Customer,Phil
368,107,1/6/25 1:20,Voicemail,NA
369,107,1/6/25 5:28,Voicemail,NA
370,107,1/7/25 22:27,Voicemail,NA
371,108,1/1/25 14:38,Talked to Customer,Carlton
372,108,1/3/25 6:06,Voicemail,NA
373,108,1/7/25 22:05,Voicemail,NA
374,108,1/8/25 22:28,Voicemail,NA
375,108,1/12/25 13:14,Talked to Customer,Carlton
376,109,1/1/25 14:43,Talked to Customer,Vivian
377,109,1/4/25 18:42,Voicemail,NA
378,109,1/8/25 14:14,Talked to Customer,Hillary
379,109,1/9/25 23:09,Voicemail,NA
380,109,1/14/25 7:20,Voicemail,NA
381,110,1/1/25 14:48,Disconnected,NA
382,110,1/5/25 22:35,Voicemail,NA
383,110,1/7/25 20:02,Voicemail,NA
384,110,1/12/25 10:54,Talked to Customer,Geoffrey
385,110,1/14/25 0:43,Voicemail,NA
386,111,1/1/25 14:53,Talked to Customer,Carlton
387,111,1/3/25 3:30,Voicemail,NA
388,112,1/1/25 14:57,Talked to Customer,Vivian
389,112,1/4/25 0:09,Voicemail,NA
390,112,1/6/25 2:43,Voicemail,NA
391,113,1/1/25 15:05,Talked to Customer,Geoffrey
392,113,1/4/25 1:52,Voicemail,NA
393,113,1/7/25 10:31,Talked to Customer,Carlton
394,113,1/11/25 5:25,Voicemail,NA
395,113,1/14/25 2:52,Voicemail,NA
396,114,1/1/25 15:07,Talked to Customer,Carlton
397,114,1/4/25 17:22,Talked to Customer,Vivian
398,114,1/7/25 3:19,Voicemail,NA
399,115,1/1/25 15:14,Talked to Customer,Hillary
400,115,1/5/25 23:12,Voicemail,NA
401,115,1/9/25 13:34,Talked to Customer,Hillary
402,115,1/13/25 16:35,Talked to Customer,Carlton
403,115,1/13/25 22:10,Disconnected,NA
404,116,1/1/25 15:19,Disconnected,NA
405,116,1/4/25 22:41,Voicemail,NA
406,116,1/9/25 21:08,Voicemail,NA
407,116,1/14/25 14:49,Talked to Customer,Carlton
408,117,1/1/25 15:28,Talked to Customer,Geoffrey
409,117,1/2/25 18:32,Talked to Customer,Vivian
410,117,1/4/25 5:39,Voicemail,NA
411,117,1/5/25 1:28,Voicemail,NA
412,117,1/5/25 13:58,Talked to Customer,Geoffrey
413,118,1/1/25 15:33,Talked to Customer,Phil
414,118,1/3/25 5:12,Voicemail,NA
415,118,1/4/25 18:55,Voicemail,NA
416,118,1/5/25 19:35,Voicemail,NA
417,118,1/10/25 5:43,Voicemail,NA
418,119,1/1/25 15:43,Talked to Customer,Hillary
419,119,1/6/25 15:25,Talked to Customer,Geoffrey
420,119,1/8/25 22:46,Voicemail,NA
421,120,1/1/25 15:52,Talked to Customer,Phil
422,120,1/3/25 3:46,Voicemail,NA
423,120,1/7/25 7:34,Voicemail,NA
424,120,1/8/25 0:39,Voicemail,NA
425,120,1/10/25 13:24,Voicemail,NA
426,121,1/1/25 15:59,Talked to Customer,Carlton
427,121,1/6/25 14:11,Disconnected,NA
428,121,1/8/25 8:42,Disconnected,NA
429,121,1/11/25 11:38,Talked to Customer,Vivian
430,122,1/1/25 16:00,Talked to Customer,Carlton
431,122,1/4/25 8:31,Voicemail,NA
432,123,1/1/25 16:10,Talked to Customer,Phil
433,123,1/4/25 15:16,Disconnected,NA
434,123,1/5/25 7:25,Voicemail,NA
435,123,1/6/25 2:42,Voicemail,NA
436,124,1/1/25 16:25,Talked to Customer,Vivian
437,124,1/6/25 3:59,Voicemail,NA
438,124,1/8/25 7:05,Talked to Customer,Carlton
439,124,1/9/25 7:46,Talked to Customer,Hillary
440,124,1/13/25 20:52,Voicemail,NA
441,125,1/1/25 16:42,Talked to Customer,Phil
442,125,1/4/25 4:37,Talked to Customer,Phil
443,125,1/8/25 14:17,Disconnected,NA
444,125,1/9/25 0:36,Voicemail,NA
445,126,1/1/25 16:48,Disconnected,NA
446,126,1/6/25 4:05,Voicemail,NA
447,126,1/11/25 3:22,Voicemail,NA
448,126,1/14/25 4:48,Voicemail,NA
449,126,1/15/25 23:12,Voicemail,NA
450,127,1/1/25 16:51,Talked to Customer,Phil
451,127,1/2/25 20:04,Voicemail,NA
452,127,1/7/25 19:04,Voicemail,NA
453,127,1/8/25 4:56,Voicemail,NA
454,128,1/1/25 17:05,Talked to Customer,Vivian
455,128,1/4/25 23:39,Voicemail,NA
456,129,1/1/25 17:16,Talked to Customer,Carlton
457,129,1/4/25 5:52,Voicemail,NA
458,129,1/6/25 21:26,Voicemail,NA
459,129,1/9/25 15:35,Disconnected,NA
460,129,1/10/25 16:39,Voicemail,NA
461,130,1/1/25 17:18,Talked to Customer,Phil
462,130,1/2/25 6:01,Talked to Customer,Vivian
463,130,1/3/25 12:31,Voicemail,NA
464,130,1/6/25 17:07,Talked to Customer,Carlton
465,131,1/1/25 17:24,Talked to Customer,Vivian
466,131,1/2/25 5:27,Voicemail,NA
467,131,1/6/25 19:00,Talked to Customer,Phil
468,131,1/6/25 21:09,Voicemail,NA
469,131,1/11/25 5:05,Voicemail,NA
470,132,1/1/25 17:33,Talked to Customer,Phil
471,132,1/3/25 18:47,Voicemail,NA
472,132,1/5/25 16:56,Talked to Customer,Vivian
473,132,1/6/25 9:12,Talked to Customer,Vivian
474,133,1/1/25 17:46,Talked to Customer,Hillary
475,133,1/3/25 6:00,Voicemail,NA
476,133,1/8/25 0:12,Voicemail,NA
477,134,1/1/25 17:52,Talked to Customer,Geoffrey
478,134,1/2/25 15:12,Talked to Customer,Carlton
479,134,1/3/25 0:51,Voicemail,NA
480,134,1/5/25 18:24,Voicemail,NA
481,134,1/9/25 9:21,Talked to Customer,Phil
482,135,1/1/25 17:53,Talked to Customer,Carlton
483,135,1/2/25 10:53,Disconnected,NA
484,136,1/1/25 18:00,Voicemail,NA
485,136,1/6/25 1:36,Voicemail,NA
486,136,1/8/25 9:39,Talked to Customer,Phil
487,136,1/10/25 2:05,Voicemail,NA
488,137,1/1/25 18:21,Voicemail,NA
489,137,1/3/25 22:21,Voicemail,NA
490,137,1/6/25 18:27,Voicemail,NA
491,137,1/8/25 17:58,Talked to Customer,Phil
492,137,1/10/25 4:01,Voicemail,NA
493,138,1/1/25 18:38,Voicemail,NA
494,138,1/4/25 13:45,Talked to Customer,Geoffrey
495,138,1/5/25 1:38,Voicemail,NA
496,138,1/6/25 9:11,Talked to Customer,Geoffrey
497,138,1/9/25 14:36,Talked to Customer,Carlton
498,139,1/1/25 18:52,Voicemail,NA
499,139,1/6/25 13:24,Talked to Customer,Phil
500,139,1/8/25 0:17,Voicemail,NA
501,140,1/1/25 18:53,Talked to Customer,Carlton
502,140,1/4/25 5:00,Voicemail,NA
503,140,1/9/25 0:54,Voicemail,NA
504,141,1/1/25 19:11,Talked to Customer,Phil
505,141,1/2/25 4:32,Voicemail,NA
506,141,1/3/25 12:23,Voicemail,NA
507,141,1/4/25 19:48,Voicemail,NA
508,141,1/8/25 17:11,Talked to Customer,Hillary
509,142,1/1/25 19:21,Voicemail,NA
510,142,1/2/25 0:31,Voicemail,NA
511,142,1/5/25 7:33,Talked to Customer,Hillary
512,142,1/6/25 15:17,Talked to Customer,Geoffrey
513,143,1/1/25 19:30,Voicemail,NA
514,143,1/5/25 13:12,Disconnected,NA
515,143,1/8/25 20:56,Voicemail,NA
516,144,1/1/25 19:51,Voicemail,NA
517,144,1/2/25 18:01,Voicemail,NA
518,144,1/3/25 15:46,Voicemail,NA
519,145,1/1/25 20:07,Voicemail,NA
520,145,1/2/25 2:12,Voicemail,NA
521,145,1/3/25 13:16,Voicemail,NA
522,146,1/1/25 20:34,Voicemail,NA
523,146,1/6/25 14:54,Talked to Customer,Hillary
524,146,1/11/25 12:03,Talked to Customer,Carlton
525,146,1/12/25 18:05,Voicemail,NA
526,146,1/16/25 2:31,Voicemail,NA
527,147,1/1/25 20:45,Voicemail,NA
528,147,1/4/25 23:51,Voicemail,NA
529,147,1/9/25 1:07,Voicemail,NA
530,148,1/1/25 20:51,Voicemail,NA
531,148,1/2/25 17:49,Talked to Customer,Carlton
532,148,1/6/25 10:08,Disconnected,NA
533,148,1/9/25 14:50,Disconnected,NA
534,149,1/1/25 21:13,Talked to Customer,Carlton
535,149,1/6/25 7:05,Voicemail,NA
536,149,1/8/25 20:05,Voicemail,NA
537,150,1/1/25 21:34,Voicemail,NA
538,150,1/3/25 21:04,Voicemail,NA
539,150,1/7/25 8:47,Voicemail,NA
540,151,1/1/25 21:43,Voicemail,NA
541,151,1/4/25 17:26,Talked to Customer,Hillary
542,151,1/9/25 10:44,Talked to Customer,Geoffrey
543,152,1/1/25 21:45,Voicemail,NA
544,152,1/2/25 21:28,Voicemail,NA
545,152,1/4/25 20:37,Voicemail,NA
546,152,1/5/25 22:49,Talked to Customer,Hillary
547,152,1/6/25 2:57,Voicemail,NA
548,153,1/1/25 22:01,Voicemail,NA
549,153,1/5/25 23:15,Voicemail,NA
550,153,1/9/25 21:21,Voicemail,NA
551,153,1/11/25 14:34,Talked to Customer,Geoffrey
552,153,1/14/25 22:23,Voicemail,NA
553,154,1/1/25 22:22,Voicemail,NA
554,154,1/4/25 22:57,Voicemail,NA
555,154,1/6/25 8:25,Disconnected,NA
556,154,1/11/25 3:28,Voicemail,NA
557,155,1/1/25 22:27,Voicemail,NA
558,155,1/2/25 0:27,Voicemail,NA
559,156,1/1/25 23:02,Voicemail,NA
560,156,1/6/25 14:35,Disconnected,NA
561,156,1/11/25 9:11,Talked to Customer,Carlton
562,157,1/1/25 23:20,Voicemail,NA
